Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,First Ballot,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Kim Anderson,1978,1979,1,1,SF,POR,21,3.0,63,2.1,45,0.7,15,0.2,4,0.2,5,31.2,0.0,53.6,0.0,3.0,-0.4,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Anderson,1988,1989,1,1,PG,SAS,36,5.7,204,2.5,89,4.3,153,1.2,44,0.1,3,41.7,14.3,69.5,42.0,10.5,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Anderson,1989,2002,13,1,SG,ORL,800,14.4,11529,5.1,4064,2.6,2087,1.4,1114,0.5,364,44.6,35.6,66.7,50.0,15.8,4.3,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Anderson,1982,1990,6,1,PF,HOU,407,5.6,2260,3.5,1418,1.5,611,0.6,225,0.2,94,41.2,33.3,76.2,44.6,12.3,1.3,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron Anderson,1984,1994,10,1,SF,PHI,664,10.6,7056,3.5,2312,1.4,952,0.7,470,0.1,90,47.1,28.7,81.4,47.9,14.3,2.4,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shandon Anderson,1996,2006,10,1,SG,NYK,719,7.4,5327,3.1,2252,1.4,1007,0.8,556,0.3,180,45.7,31.6,73.9,49.2,11.7,2.4,23.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Willie Anderson,1988,1997,9,1,SG,SAS,555,12.2,6771,3.8,2082,3.8,2105,1.1,594,0.6,342,47.1,26.6,78.6,47.9,13.8,3.1,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wally Anderzunas,1969,1970,1,1,SF,SAC,44,3.6,159,1.9,82,0.2,9,0.0,0,0.0,0,39.2,0.0,63.0,0.0,8.8,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martynas Andriuškevičius,2005,2006,1,1,C,CLE,6,0.0,0,0.7,4,0.0,0,0.3,2,0.0,0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Anielak,1954,1955,1,1,NA,NYK,1,3.0,3,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0.0,75.0,0.0,1.8,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Ansley,1989,1992,3,1,SF,ORL,149,6.9,1026,4.2,621,0.4,67,0.3,51,0.2,24,51.3,0.0,72.2,51.3,17.0,2.1,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Anstey,1997,2000,3,1,C,DAL,155,5.2,813,3.4,534,0.8,127,0.5,78,0.4,65,41.3,13.8,75.5,41.6,13.2,0.9,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Anthony,1991,2002,11,1,PG,NYK,757,7.3,5497,1.9,1417,4.0,2997,1.2,887,0.1,79,40.3,34.9,73.3,46.7,14.5,3.3,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
