Player,Debut,Last Active,YOE,Retired,Position,Team,Total Games,Career PPG,Total PTS,Career RPG,Total RBS,Career APG,Total AST,Career SPG,Total STL,Career BPG,Total BLK,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Avg WS,Total WS,Hall of Fame,Inducted as Player,Inducted as Coach,Inducted as Contributor,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team,HOF Probability,HOF Lock
Grayson Allen,2018,2022,4,0,SG,MEM,192,9.4,1806,2.6,490,1.5,285,0.6,108,0.2,34,43.3,39.3,84.1,55.9,12.1,2.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005218772186556015,0
Jarrett Allen,2017,2022,5,0,C,BRK,341,11.6,3945,8.7,2964,1.4,467,0.5,187,1.4,465,62.6,18.9,69.9,63.0,20.0,7.0,34.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2824050346874304,0
Jerome Allen,1995,1997,2,1,SG,MIN,117,2.9,336,1.1,123,1.7,201,0.4,52,0.1,9,35.0,31.7,63.0,41.1,8.5,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012748042838361502,0
Kadeem Allen,2017,2020,3,0,PG,NYK,47,5.5,258,1.5,71,2.3,109,0.5,24,0.2,8,43.5,34.9,75.7,48.8,13.5,0.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145265908218474,0
Lavoy Allen,2011,2017,6,1,PF,IND,388,4.8,1847,4.8,1843,1.0,384,0.3,120,0.6,214,47.1,13.3,68.2,47.2,12.5,2.3,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006022637968336602,0
Lucius Allen,1969,1979,10,1,PG,MIL,702,13.4,9407,3.1,2205,4.5,3174,1.5,604,0.3,124,46.3,0.0,76.0,0.0,15.5,4.2,42.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01313551118341494,0
Malik Allen,2001,2011,10,1,PF,MIA,478,4.9,2334,2.8,1353,0.5,228,0.3,130,0.5,220,43.9,18.8,77.8,44.0,9.9,0.7,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017560437274851144,0
Randy Allen,1988,1990,2,1,SG,SAC,70,3.6,252,2.1,145,0.3,23,0.2,17,0.3,20,44.2,0.0,53.3,44.2,8.3,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001265475206704091,0
Ray Allen,1996,2014,18,1,SG,MIL,1300,18.9,24505,4.1,5272,3.4,4361,1.1,1451,0.2,244,45.2,40.0,89.4,53.0,18.6,8.1,145.1,1,1,0,0,2018,10,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0.99522885150135,1
Tony Allen,2004,2018,14,1,SG,MEM,820,8.1,6654,3.5,2884,1.3,1077,1.4,1158,0.4,337,47.5,28.2,70.9,48.7,14.2,2.8,38.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0.004358749636525517,0
