Player,Debut,Last Active,YOE,Position,Team,HOF Probability,First Ballot,Inducted as Player
Antonio Anderson,2009,2010,1,SF,OKC,0.0011867481974601525,0,0
Cliff Anderson,1967,1971,4,SG,LAL,0.0012721623207594198,0,0
Dan Anderson,1974,1976,2,SG,POR,0.0022867429997646418,0,0
Derek Anderson,1997,2008,11,SG,POR,0.010642783200213016,0,0
Dwight Anderson,1982,1983,1,PG,DEN,0.0011595365300471954,0,0
Eric Anderson,1992,1994,2,PF,NYK,0.0012963348384537488,0,0
Greg Anderson,1987,1998,10,PF,SAS,0.0034597858248942223,0,0
J.J. Anderson,1982,1985,3,SF,UTA,0.0023870556108861666,0,0
James Anderson,2010,2016,5,SG,SAS,0.0019329040432566633,0,0
Jerome Anderson,1975,1977,2,SG,BOS,0.0013955589122833113,0,0
Justin Anderson,2015,2022,6,SF,DAL,0.0020303685706912424,0,0
Kenny Anderson,1991,2005,14,PG,BRK,0.01767434684578883,0,0
Kim Anderson,1978,1979,1,SF,POR,0.0008274935530619898,0,0
Kyle Anderson,2014,2022,8,SF,SAS,0.010810158102389774,0,0
Michael Anderson,1988,1989,1,PG,SAS,0.0013576320363202382,0,0
Nick Anderson,1989,2002,13,SG,ORL,0.009522682672716325,0,0
Richard Anderson,1982,1990,6,PF,HOU,0.0029116878127789033,0,0
Ron Anderson,1984,1994,10,SF,PHI,0.004516190366854174,0,0
Ryan Anderson,2008,2020,12,PF,NOP,0.008837371948263997,0,0
Shandon Anderson,1996,2006,10,SG,NYK,0.004777458066513932,0,0
Willie Anderson,1988,1997,9,SG,SAS,0.007508668553103409,0,0
Wally Anderzunas,1969,1970,1,SF,SAC,0.000978769997687697,0,0
Martynas Andriuškevičius,2005,2006,1,C,CLE,0.0012119478648668159,0,0
Don Anielak,1954,1955,1,,NYK,0.0010760754932300461,0,0
Ike Anigbogu,2017,2019,2,C,IND,0.0012004108233174605,0,0
Michael Ansley,1989,1992,3,SF,ORL,0.006167384450442282,0,0
Chris Anstey,1997,2000,3,C,DAL,0.002367982703855115,0,0
Giannis Antetokounmpo,2013,2022,9,PF,MIL,0.9993613334736069,0,0
Kostas Antetokounmpo,2018,2021,3,PF,LAL,0.0011018824033454241,0,0
Thanasis Antetokounmpo,2015,2022,4,SF,MIL,0.001600970810931425,0,0
Carmelo Anthony,2003,2022,19,SF,DEN,0.9976008917631002,1,0
Cole Anthony,2020,2022,2,PG,ORL,0.002017474530049985,0,0
Greg Anthony,1991,2002,11,PG,NYK,0.007584361097346563,0,0
Joel Anthony,2007,2017,10,C,MIA,0.0029057489317722697,0,0
Pero Antić,2013,2015,2,C,ATL,0.004001158097180057,0,0
OG Anunoby,2017,2022,5,SF,TOR,0.014921957039097496,0,0
Keith Appling,2015,2016,1,PG,ORL,0.0010966381234678553,0,0
Rafael Araújo,2004,2007,3,C,TOR,0.001083098282873106,0,0
Stacey Arceneaux,1961,1962,1,,ATL,0.00103027607091628,0,0
