Player,Debut,Last Active,YOE,Retired,Position,Team,League,Total Games,Career PPG,Career RPG,Career APG,Career FG%,Career FG3%,Career FT%,Career eFG%,PER,Total WS,Hall of Fame,Year Inducted,All-Stars,Scoring Champs,Rebound Champs,Assist Champs,Steal Champs,Block Champs,NBA Champs,All-NBA,All-Rookie,ROY,All-Defensive,Most Improved,Sixth Man,AS MVPs,DPOYs,MVPs,Finals MVPs,NBA 75th Anniv. Team
Rich Eichhorst,1961,1962,1,1,NA,STL,NBA,1,2.0,1.0,3.0,50.0,0,-,0,12.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard Eisley,1994,2006,12,1,PG,UTA,NBA,786,6.5,1.7,3.5,40.7,35.0,82.7,46.3,11.5,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obinna Ekezie,1999,2005,4,1,PF,MEM,NBA,143,3.6,2.7,0.2,42.3,0.0,72.0,42.3,11.2,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khalid El-Amin,2000,2001,1,1,PG,CHI,NBA,50,6.3,1.6,2.9,37.0,33.3,77.8,41.5,12.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Eliason,1946,1947,1,1,NA,BOS,BAA,1,0.0,-,0.0,0.0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Elie,1990,2001,11,1,SF,HOU,NBA,732,8.6,2.8,2.6,47.3,36.5,85.4,53.7,13.1,48.9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CJ Elleby,2020,2022,2,0,SF,POR,NBA,87,4.5,2.9,1.1,38.3,26.8,71.7,44.0,9.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Ellefson,1948,1951,2,1,NA,LAL,BAA,6,1.0,2.7,0.0,11.1,0,100.0,0,-,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Ellenson,2016,2021,5,0,PF,DET,NBA,83,4.1,2.5,0.6,37.1,33.6,77.3,44.6,10.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Ellington,2009,2022,13,0,SG,MIN,NBA,769,8.0,2.1,1.1,41.0,38.2,84.2,52.1,11.1,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Elliott,1978,1981,3,1,PF,BRK,NBA,141,7.0,3.6,1.4,49.4,33.3,64.9,49.6,12.3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Elliott,1989,2001,12,1,SF,SAS,NBA,742,14.2,4.3,2.6,46.5,37.5,79.9,50.0,13.9,55.7,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Bo Ellis,1977,1980,3,1,PF,DEN,NBA,168,3.6,2.9,0.7,43.1,0.0,73.1,43.1,10.2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boo Ellis,1958,1960,2,1,PF,LAL,NBA,118,5.1,5.2,0.7,40.2,0,69.5,0,12.8,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Ellis,1983,2000,17,1,SG,OKC,NBA,1209,15.7,3.5,1.4,47.9,40.3,78.4,53.6,16.0,84.7,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Harold Ellis,1993,1998,3,1,SF,LAC,NBA,145,5.8,2.0,0.6,52.7,4.8,65.3,52.8,16.4,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Ellis,1966,1974,8,1,SF,GSW,NBA,524,8.8,5.1,1.4,39.8,0,72.7,0,12.1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaPhonso Ellis,1992,2003,11,1,PF,DEN,NBA,624,11.9,6.5,1.6,45.2,30.2,73.0,47.1,14.6,32.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LeRon Ellis,1991,1996,3,1,C,LAC,NBA,91,3.0,2.4,0.3,43.3,-,61.3,43.3,11.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leroy Ellis,1962,1976,14,1,C,LAL,NBA,1048,9.7,8.3,1.3,44.2,0,72.8,0,13.2,46.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Monta Ellis,2005,2017,12,1,SG,GSW,NBA,833,17.8,3.5,4.6,45.1,31.4,77.2,48.0,16.0,41.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pervis Ellison,1989,2001,11,1,C,BOS,NBA,474,9.5,6.7,1.5,51.0,5.0,68.9,51.0,15.2,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Len Elmore,1974,1984,10,1,C,IND,NBA,658,6.0,5.1,0.9,41.0,20.0,72.6,41.0,11.5,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Elson,2003,2012,9,1,C,DEN,NBA,472,3.7,3.5,0.6,47.8,18.8,70.0,47.9,10.0,11.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Darrell Elston,1974,1977,2,1,SG,VIR,ABA,77,7.8,2.2,2.6,40.2,16.7,75.2,40.4,8.7,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Ely,2002,2014,9,1,C,CHO,NBA,375,5.3,3.2,0.7,46.0,0.0,62.5,46.0,10.6,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Joel Embiid,2016,2022,6,0,C,PHI,NBA,328,26.0,11.4,3.3,49.0,33.8,81.0,52.4,27.1,43.7,0,0,5,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0
Wayne Embry,1958,1969,11,1,C,SAC,NBA,831,12.5,9.1,1.4,44.0,0,64.0,0,15.1,37.8,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Andre Emmett,2004,2012,2,1,SG,MEM,NBA,14,1.4,0.6,0.1,46.2,0.0,61.5,46.2,8.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ned Endress,1946,1947,1,1,NA,CLR,BAA,16,0.9,-,0.3,12.0,0,53.3,0,-,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Engelstad,1988,1989,1,1,PF,DEN,NBA,11,2.5,1.5,0.6,37.9,-,60.0,37.9,12.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Engler,1982,1988,5,1,C,BRK,NBA,195,1.8,2.0,0.2,41.1,-,67.7,41.1,7.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. English,1990,1992,2,1,SG,WAS,NBA,151,9.9,2.1,2.1,43.5,13.8,77.8,43.8,11.6,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex English,1976,1991,15,1,SF,DEN,NBA,1193,21.5,5.5,3.6,50.7,21.7,83.2,50.7,19.9,100.7,1,1997,8,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Claude English,1970,1971,1,1,NA,POR,NBA,18,1.5,1.1,0.3,26.2,0,71.4,0,3.8,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jo Jo English,1992,1995,3,1,SG,CHI,NBA,50,3.6,1.1,0.9,41.6,34.4,55.6,44.7,6.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kim English,2012,2013,1,1,SG,DET,NBA,41,2.9,0.9,0.6,37.5,28.0,72.4,43.8,7.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott English,1972,1975,3,1,SF,PHO,ABA,105,5.6,4.0,1.0,41.4,10.0,77.0,41.4,11.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene Englund,1949,1950,1,1,NA,BOS,NBA,46,7.8,-,0.9,38.0,0,79.2,0,-,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Ennis III,2014,2022,8,0,SF,MEM,NBA,395,6.7,3.3,0.9,45.7,36.0,79.7,53.7,11.7,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Ennis,2014,2018,4,1,PG,MIL,NBA,186,4.2,1.3,1.9,41.9,31.7,76.8,46.3,10.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Epps,1978,1979,1,1,SF,GSW,NBA,13,2.0,0.4,0.2,43.5,0,75.0,0,7.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semih Erden,2010,2012,2,1,C,CLE,NBA,69,3.8,2.8,0.4,54.6,-,59.4,54.6,10.1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bo Erias,1957,1958,1,1,SF,LAL,NBA,18,8.2,4.6,1.4,34.7,0,63.8,0,8.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Erickson,1965,1977,12,1,SF,LAL,NBA,766,9.5,4.5,2.6,43.5,0,76.9,0,12.2,25.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Julius Erving,1971,1987,16,1,SF,PHI,NBA,1243,24.2,8.5,4.2,50.6,29.8,77.7,50.9,23.6,181.1,1,1993,16,0,0,0,0,0,1,7,1,0,1,0,0,2,0,4,0,1
Evan Eschmeyer,1999,2003,4,1,C,BRK,NBA,153,2.8,3.9,0.5,46.3,-,62.1,46.3,10.6,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Eskridge,1948,1949,1,1,NA,CHS,BAA,23,2.8,-,0.6,36.2,0,70.0,0,-,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincenzo Esposito,1995,1996,1,1,PG,TOR,NBA,30,3.9,0.5,0.8,36.0,23.2,79.5,42.5,5.2,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Eubanks,2018,2022,4,0,C,SAS,NBA,170,5.9,4.4,0.9,59.0,30.8,75.3,59.6,17.8,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Evans,1969,1970,1,1,PG,NYA,ABA,53,1.9,0.7,1.9,36.8,0.0,54.3,36.8,4.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Evans,1949,1950,1,1,NA,INO,NBA,47,3.0,-,1.2,28.0,0,68.2,0,-,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Evans,1996,1999,3,1,SF,ORL,NBA,102,3.7,1.6,0.8,38.1,34.3,82.0,43.0,11.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Earl Evans,1979,1980,1,1,PF,DET,NBA,36,4.4,2.1,1.0,45.0,38.9,57.1,47.5,10.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Evans,2018,2020,2,0,SG,GSW,NBA,59,2.8,1.1,0.9,33.7,31.5,83.3,38.2,4.8,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawun Evans,2017,2019,2,0,PG,LAC,NBA,56,4.2,1.7,2.0,34.5,26.3,77.6,37.3,6.7,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Evans,2010,2018,7,1,SF,UTA,NBA,250,3.5,2.6,0.4,56.9,23.1,68.7,57.3,17.3,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Evans,2001,2012,9,1,SG,ATL,NBA,562,6.7,2.5,0.7,44.2,36.3,78.5,50.8,11.9,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Evans,1979,1988,9,1,PG,DEN,NBA,591,7.7,1.4,2.6,45.2,30.7,80.7,48.0,12.0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Evans,2002,2015,13,1,PF,OKC,NBA,809,4.1,7.1,0.6,46.5,9.1,52.8,46.6,11.7,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyreke Evans,2009,2019,10,0,SG,SAC,NBA,594,15.7,4.6,4.8,44.0,32.3,75.7,47.1,17.1,28.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
